seed,team,round2,qtrs,semis,finals,champ
1,auburn,1.0,1.0,0.7917,0.4851,0.2554
2,tennessee,1.0,1.0,0.841,0.4793,0.2772
3,kentucky,1.0,1.0,0.7493,0.4112,0.2349
4,arkansas,1.0,1.0,0.5811,0.2728,0.1204
5,louisiana state,1.0,0.8471,0.3993,0.1766,0.0644
6,alabama,1.0,0.7106,0.2067,0.0668,0.024
7,south carolina,1.0,0.3497,0.0371,0.0058,0.0005
8,texas am,1.0,0.4883,0.0993,0.0288,0.0064
9,florida,1.0,0.5117,0.109,0.0338,0.0082
10,mississippi state,1.0,0.6503,0.1219,0.0277,0.0057
11,vanderbilt,0.8718,0.2825,0.0438,0.0092,0.0026
12,missouri,0.2976,0.0243,0.0016,0.0,0.0
13,mississippi,0.7024,0.1286,0.018,0.0029,0.0003
14,georgia,0.1282,0.0069,0.0002,0.0,0.0
